Date,AAPL,AMD,AMZN,DIS,GOOGL,JPM,MSFT,NFLX,NVDA,TSLA
2011-01-03,9.904958724975586,8.470000267028809,9.211000442504883,32.89626693725586,15.051911354064941,29.431175231933594,21.421085357666016,25.48714256286621,0.362673819065094,1.7746670246124268
2011-01-04,9.95665168762207,8.770000457763672,9.250499725341797,33.913963317871094,14.996370315551758,29.85712242126465,21.505298614501953,25.90999984741211,0.36152759194374084,1.777999997138977
2011-01-05,10.038095474243164,8.90999984741211,9.371000289916992,34.75767135620117,15.16946792602539,30.222227096557617,21.43639373779297,25.67571449279785,0.3892669081687927,1.7886669635772705
2011-01-06,10.029983520507812,8.6899995803833,9.293000221252441,34.4880256652832,15.279800415039062,30.073484420776367,22.06417465209961,25.427143096923828,0.4431406557559967,1.858667016029358
2011-01-07,10.101810455322266,8.829999923706055,9.274499893188477,34.31406784057617,15.353023529052734,29.50554656982422,21.895748138427734,25.614286422729492,0.4555202126502991,1.8826669454574585
2011-01-10,10.292057991027832,9.1899995803833,9.234000205993652,34.35755157470703,15.297484397888184,29.34328269958496,21.604822158813477,26.84000015258789,0.4729433059692383,1.8966670036315918
2011-01-11,10.267718315124512,8.359999656677246,9.217000007629395,34.270572662353516,15.342314720153809,29.478500366210938,21.520606994628906,26.66428565979004,0.4656071066856384,1.797333002090454
2011-01-12,10.351264953613281,8.390000343322754,9.204000473022461,34.07051086425781,15.36373519897461,30.22899627685547,21.857460021972656,26.985713958740234,0.5352992415428162,1.797333002090454
2011-01-13,10.38913345336914,8.260000228881836,9.27649974822998,34.14879608154297,15.359251022338867,30.053203582763672,21.581851959228516,27.355714797973633,0.5362163186073303,1.7480000257492065
2011-01-14,10.473280906677246,8.199999809265137,9.4375,34.17489242553711,15.545797348022461,30.364206314086914,21.666067123413086,27.354286193847656,0.5408011078834534,1.7166670560836792
2011-01-18,10.237959861755371,8.100000381469727,9.5625,34.261871337890625,15.930594444274902,30.256027221679688,21.94167709350586,27.66857147216797,0.5281925201416016,1.7093329429626465
2011-01-19,10.18355941772461,7.929999828338623,9.343500137329102,34.00093078613281,15.734334945678711,29.552867889404297,21.796218872070312,27.26714324951172,0.5137497782707214,1.6019999980926514
2011-01-20,9.998424530029297,8.020000457763672,9.097999572753906,34.07051086425781,15.610302925109863,30.256027221679688,21.704343795776367,26.428571701049805,0.514208197593689,1.5080000162124634
2011-01-21,9.819305419921875,7.539999961853027,8.871000289916992,34.566314697265625,15.238207817077637,30.62112808227539,21.451702117919922,26.01285743713379,0.509394109249115,1.5360000133514404
2011-01-24,10.1417875289917,7.679999828338623,8.842499732971191,34.74027633666992,15.219528198242188,30.43858528137207,21.727317810058594,26.280000686645508,0.5669358968734741,1.6326669454574585
2011-01-25,10.260501861572266,7.480000019073486,8.835000038146973,34.670684814453125,15.439447402954102,30.337160110473633,21.780914306640625,26.677143096923828,0.5495128631591797,1.6453330516815186
2011-01-26,10.334132194519043,7.489999771118164,8.769499778747559,34.305362701416016,15.354519844055176,30.41152572631836,22.03354835510254,26.14714241027832,0.5625801682472229,1.649999976158142
2011-01-27,10.314897537231445,7.75,9.22249984741211,34.3227653503418,15.361741065979004,30.492679595947266,22.102447509765625,30.124286651611328,0.5609753727912903,1.6613329648971558
2011-01-28,10.101211547851562,7.489999771118164,8.557000160217285,33.792179107666016,14.96822738647461,30.11405372619629,21.244991302490234,31.139999389648438,0.5446982979774475,1.6006669998168945
2011-01-31,10.197985649108887,7.829999923706055,8.482000350952148,33.80957794189453,14.952536582946777,30.384485244750977,21.22968101501465,30.582857131958008,0.5483666062355042,1.6066670417785645
